id,name,phone_number,email,salary
1,Alisha Garde,09019173647,vidursani@sidhu-din.com,"18,28,141"
2,Urvi Vaidya,06528858365,charviupadhyay@yahoo.com,"19,00,298"
3,Ryan Rana,2564087273,aradhya10@yahoo.com,"13,69,967"
4,Mahika Sabharwal,7921929247,guhaadah@suri-kakar.com,"14,30,261"
5,Aaryahi Swamy,03293472861,ysalvi@saxena.com,"12,43,798"
6,Krish Sridhar,+914339919729,mannegokul@babu.biz,"9,84,545"
7,Tarini Rout,03620681471,abram56@hotmail.com,"6,26,197"
8,Dharmajan Sane,6016729110,dhaliwaladira@bansal-halder.org,"16,69,809"
9,Mishti Kannan,2207386962,tejas16@gmail.com,"12,93,988"
10,Sara Hora,0277142824,bobalriaan@sekhon-uppal.org,"10,89,108"
11,Tiya Ghosh,+917661526842,dugalzaina@yahoo.com,"5,38,080"
12,Pari Seshadri,+913107837285,chirag22@swamy.org,"12,90,140"
13,Kavya Lala,+913872381821,vsubramanian@shenoy-jain.biz,"3,27,234"
14,Jivin Tella,03097471380,ela45@gmail.com,"15,54,259"
15,Khushi Bajwa,01158710725,fkunda@seth.org,"17,80,884"
16,Zoya Borra,07082809384,sumerganguly@kannan-luthra.net,"15,78,520"
17,Nirvaan Bail,+918210127956,kimayagade@ravi.com,"13,20,351"
18,Vanya Dara,+918858613671,arnavkhosla@hotmail.com,"6,39,350"
19,Keya Golla,6558955005,viyengar@viswanathan.com,"19,24,562"
20,Drishya Borde,9895814565,mahika26@savant.net,"9,11,935"
21,Bhamini Zacharia,+911542269725,arnav71@hotmail.com,"6,08,342"
22,Anvi Hari,1412907618,sdara@hotmail.com,"4,88,725"
23,Eva Hans,+911529873298,bajwaarnav@dalal.com,"12,08,215"
24,Miraan Dixit,8941623749,shray90@gmail.com,"4,66,582"
25,Kabir Sidhu,8294426970,buchnitya@banerjee.com,"14,16,390"
26,Mohanlal Sama,06097460343,nitarareddy@devi.com,"12,49,074"
27,Jivika Tripathi,0524923557,bijukaran@yahoo.com,"7,20,563"
28,Ranbir Suri,03851999568,ukurian@yogi-singh.com,"14,38,053"
29,Indranil Arora,8777843436,jhanvi29@brahmbhatt.net,"7,32,346"
30,Dishani Sachdeva,+919988784899,zratti@yahoo.com,"18,07,866"
31,Aniruddh Sangha,00080381126,ivana62@hotmail.com,"13,55,239"
32,Akarsh Sarin,3589467929,pchar@dhar-shankar.com,"7,65,577"
33,Miraan Banik,+919106994719,khuranasamar@bhandari.net,"10,98,684"
34,Samarth Wadhwa,01983293546,indranil86@gmail.com,"15,66,384"
35,Anika Kade,9504696861,lakshitganesan@amble.net,"7,54,175"
36,Umang Chad,+911507147291,tlalla@yahoo.com,"12,16,996"
37,Lavanya Chowdhury,05244000153,priyansh03@hotmail.com,"15,06,074"
38,Tushar Hayer,06200058776,sachdevakhushi@kohli.com,"7,76,450"
39,Pihu Chahal,6016786709,fateh56@sachdeva-bhattacharyya.com,"4,68,420"
40,Kashvi Sama,+918999282663,ivan05@hotmail.com,"14,36,287"
41,Kiaan Bhatt,09111410553,tandonayesha@yahoo.com,"3,18,369"
42,Arnav Sharaf,+917406226488,aayush70@kuruvilla-gara.com,"3,42,610"
43,Stuvan Som,+911290561038,senjivika@sankar.org,"17,02,446"
44,Jivin Bala,+914088610861,nvig@yahoo.com,"6,34,244"
45,Biju Chad,2420076485,tsawhney@gmail.com,"4,16,444"
46,Alia Kala,9163821999,hrishitabobal@hotmail.com,"4,97,691"
47,Rasha Tella,03347584414,mastershayak@gmail.com,"16,81,772"
48,Anya Ranganathan,+918984850595,ykara@gmail.com,"7,99,392"
49,Shray Dubey,01456137325,ykakar@ganesh.biz,"10,68,360"
50,Arnav Andra,7844026241,reddypurab@yahoo.com,"6,55,258"
